Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90,HomeWinRate,AwayWinRate,HomeGoalsPerMatch,AwayGoalsPerMatch,HomeGoalsConcededPerMatch,AwayGoalsConcededPerMatch,HomePointsPerMatch,AwayPointsPerMatch,TotalMP,TotalW,TotalD,TotalL,TotalGF,TotalGA,TotalGD,TotalPts,OverallWinRate,OverallGoalsPerMatch,OverallGoalsConcededPerMatch,OverallPointsPerMatch,HomeAwayWinRateDiff,HomeAwayGoalsScoredDiff,HomeAwayGoalsConcededDiff,HomeAwayPointsDiff,Poss,PrgC,PrgP,Sh,SoT,SoT%,Succ,Touches,Att 3rd,Att Pen,Live
2019-2020,8,Arsenal,19,10,6,3,36,24,12,36,1.89,26.3,29.0,-2.7,-0.14,19,4,8,7,20,24,-4,20,1.05,20.7,26.3,-5.6,-0.3,0.5263157894736842,0.21052631578947367,1.894736842105263,1.0526315789473684,1.263157894736842,1.263157894736842,1.894736842105263,1.0526315789473684,38,14,14,10,56,48,8,56,0.3684210526315789,1.4736842105263157,1.263157894736842,1.4736842105263157,0.3157894736842105,0.8421052631578947,0.0,0.8421052631578947,53.8,815,1641,403,146,36.2,411,24424,5628,821,24421
2019-2020,9,Sheffield Utd,19,10,3,6,24,15,9,33,1.74,26.9,21.3,5.6,0.29,19,4,9,6,15,24,-9,21,1.11,16.2,29.7,-13.5,-0.71,0.5263157894736842,0.21052631578947367,1.263157894736842,0.7894736842105263,0.7894736842105263,1.263157894736842,1.736842105263158,1.105263157894737,38,14,12,12,39,39,0,54,0.3684210526315789,1.0263157894736843,1.0263157894736843,1.4210526315789473,0.3157894736842105,0.4736842105263157,-0.4736842105263157,0.631578947368421,43.1,493,1352,352,109,31.0,346,21000,6070,733,20999
2019-2020,10,Burnley,19,8,4,7,24,23,1,28,1.47,30.5,23.9,6.5,0.34,19,7,5,7,19,27,-8,26,1.37,16.9,25.8,-8.9,-0.47,0.42105263157894735,0.3684210526315789,1.263157894736842,1.0,1.2105263157894737,1.4210526315789473,1.4736842105263157,1.368421052631579,38,15,9,14,43,50,-7,54,0.39473684210526316,1.131578947368421,1.3157894736842106,1.4210526315789473,0.05263157894736842,0.26315789473684204,-0.21052631578947367,0.10526315789473673,41.9,437,890,384,124,32.3,246,18827,4410,617,18823
2019-2020,11,Southampton,19,6,3,10,21,35,-14,21,1.11,25.6,29.2,-3.6,-0.19,19,9,4,6,30,25,5,31,1.63,30.5,23.6,6.9,0.36,0.3157894736842105,0.47368421052631576,1.105263157894737,1.5789473684210527,1.8421052631578947,1.3157894736842106,1.105263157894737,1.631578947368421,38,15,7,16,51,60,-9,52,0.39473684210526316,1.3421052631578947,1.5789473684210527,1.368421052631579,-0.15789473684210525,-0.4736842105263157,0.5263157894736841,-0.5263157894736841,48.9,628,1335,494,171,34.6,423,22200,5497,811,22196
2019-2020,12,Everton,19,8,7,4,24,21,3,31,1.63,27.1,24.2,2.9,0.16,19,5,3,11,20,35,-15,18,0.95,23.7,24.1,-0.4,-0.02,0.42105263157894735,0.2631578947368421,1.263157894736842,1.0526315789473684,1.105263157894737,1.8421052631578947,1.631578947368421,0.9473684210526315,38,13,10,15,44,56,-12,49,0.34210526315789475,1.1578947368421053,1.4736842105263157,1.2894736842105263,0.15789473684210525,0.21052631578947367,-0.7368421052631577,0.6842105263157895,49.0,623,1430,468,159,34.0,374,22035,5301,838,22034
2019-2020,13,Newcastle Utd,19,6,8,5,20,21,-1,26,1.37,18.9,30.9,-12.0,-0.63,19,5,3,11,18,37,-19,18,0.95,16.7,34.7,-18.1,-0.95,0.3157894736842105,0.2631578947368421,1.0526315789473684,0.9473684210526315,1.105263157894737,1.9473684210526316,1.368421052631579,0.9473684210526315,38,11,11,16,38,58,-20,44,0.2894736842105263,1.0,1.5263157894736843,1.1578947368421053,0.05263157894736842,0.10526315789473684,-0.8421052631578947,0.42105263157894746,39.0,537,844,398,132,33.2,400,18911,3875,542,18910
2019-2020,14,Crystal Palace,19,6,5,8,15,20,-5,23,1.21,19.0,22.2,-3.2,-0.17,19,5,5,9,16,30,-14,20,1.05,16.8,34.9,-18.0,-0.95,0.3157894736842105,0.2631578947368421,0.7894736842105263,0.8421052631578947,1.0526315789473684,1.5789473684210527,1.2105263157894737,1.0526315789473684,38,11,10,17,31,50,-19,43,0.2894736842105263,0.8157894736842105,1.3157894736842106,1.131578947368421,0.05263157894736842,-0.05263157894736836,-0.5263157894736843,0.1578947368421053,44.8,596,1223,373,115,30.8,432,20928,4876,793,20925
2019-2020,15,Brighton,19,5,7,7,20,27,-7,22,1.16,23.5,25.7,-2.2,-0.12,19,4,7,8,19,27,-8,19,1.0,21.9,29.2,-7.3,-0.39,0.2631578947368421,0.21052631578947367,1.0526315789473684,1.0,1.4210526315789473,1.4210526315789473,1.1578947368421053,1.0,38,9,14,15,39,54,-15,41,0.23684210526315788,1.0263157894736843,1.4210526315789473,1.0789473684210527,0.05263157894736842,0.05263157894736836,0.0,0.1578947368421053,52.2,669,1675,460,139,30.2,335,24387,5693,770,24385
2019-2020,16,West Ham,19,6,4,9,30,33,-3,22,1.16,24.7,29.7,-5.0,-0.26,19,4,5,10,19,29,-10,17,0.89,23.9,34.1,-10.2,-0.54,0.3157894736842105,0.21052631578947367,1.5789473684210527,1.0,1.736842105263158,1.5263157894736843,1.1578947368421053,0.8947368421052632,38,10,9,19,49,62,-13,39,0.2631578947368421,1.2894736842105263,1.631578947368421,1.0263157894736843,0.10526315789473684,0.5789473684210527,0.21052631578947367,0.26315789473684215,44.1,667,1377,413,156,37.8,397,20993,5265,746,20989
2019-2020,17,Aston Villa,19,7,3,9,22,30,-8,24,1.26,23.9,32.1,-8.2,-0.43,19,2,5,12,19,37,-18,11,0.58,20.4,35.6,-15.3,-0.8,0.3684210526315789,0.10526315789473684,1.1578947368421053,1.0,1.5789473684210527,1.9473684210526316,1.263157894736842,0.5789473684210527,38,9,8,21,41,67,-26,35,0.23684210526315788,1.0789473684210527,1.763157894736842,0.9210526315789473,0.2631578947368421,0.1578947368421053,-0.368421052631579,0.6842105263157894,44.1,639,1247,453,147,32.5,352,19977,4969,695,19974
2019-2020,18,Bournemouth,19,5,6,8,22,30,-8,21,1.11,24.2,28.2,-4.0,-0.21,19,4,1,14,18,35,-17,13,0.68,20.6,34.1,-13.4,-0.71,0.2631578947368421,0.21052631578947367,1.1578947368421053,0.9473684210526315,1.5789473684210527,1.8421052631578947,1.105263157894737,0.6842105263157895,38,9,7,22,40,65,-25,34,0.23684210526315788,1.0526315789473684,1.7105263157894737,0.8947368421052632,0.05263157894736842,0.21052631578947378,-0.26315789473684204,0.42105263157894746,44.1,601,1256,385,117,30.4,325,20872,4916,717,20868
2019-2020,19,Watford,19,6,6,7,22,27,-5,24,1.26,29.1,26.9,2.2,0.12,19,2,4,13,14,37,-23,10,0.53,19.7,31.2,-11.5,-0.61,0.3157894736842105,0.10526315789473684,1.1578947368421053,0.7368421052631579,1.4210526315789473,1.9473684210526316,1.263157894736842,0.5263157894736842,38,8,10,20,36,64,-28,34,0.21052631578947367,0.9473684210526315,1.6842105263157894,0.8947368421052632,0.21052631578947367,0.42105263157894746,-0.5263157894736843,0.7368421052631579,42.9,578,1168,416,112,26.9,321,20081,5148,805,20073
2019-2020,20,Norwich City,19,4,3,12,19,37,-18,15,0.79,18.2,33.3,-15.2,-0.8,19,1,3,15,7,38,-31,6,0.32,18.8,33.1,-14.3,-0.75,0.21052631578947367,0.05263157894736842,1.0,0.3684210526315789,1.9473684210526316,2.0,0.7894736842105263,0.3157894736842105,38,5,6,27,26,75,-49,21,0.13157894736842105,0.6842105263157895,1.9736842105263157,0.5526315789473685,0.15789473684210525,0.631578947368421,-0.05263157894736836,0.4736842105263158,49.3,673,1169,407,126,31.0,427,23409,4701,661,23407
2020-2021,1,Manchester City,19,13,2,4,43,17,26,41,2.16,37.2,14.9,22.3,1.18,19,14,3,2,40,15,25,45,2.37,31.0,15.3,15.7,0.83,0.6842105263157895,0.7368421052631579,2.263157894736842,2.1052631578947367,0.8947368421052632,0.7894736842105263,2.1578947368421053,2.3684210526315788,38,27,5,6,83,32,51,86,0.7105263157894737,2.1842105263157894,0.8421052631578947,2.263157894736842,-0.05263157894736836,0.1578947368421053,0.10526315789473684,-0.21052631578947345,63.5,1096,2051,590,211,35.8,485,30700,8504,1196,30691
2020-2021,2,Manchester Utd,19,9,4,6,38,28,10,31,1.63,31.2,22.3,8.9,0.47,19,12,7,0,35,16,19,43,2.26,28.9,19.1,9.7,0.51,0.47368421052631576,0.631578947368421,2.0,1.8421052631578947,1.4736842105263157,0.8421052631578947,1.631578947368421,2.263157894736842,38,21,11,6,73,44,29,74,0.5526315789473685,1.9210526315789473,1.1578947368421053,1.9473684210526316,-0.15789473684210525,0.1578947368421053,0.631578947368421,-0.631578947368421,55.7,877,1832,515,196,38.1,415,26617,7323,921,26606
2020-2021,3,Liverpool,19,10,3,6,29,20,9,33,1.74,31.5,21.1,10.4,0.55,19,10,6,3,39,22,17,36,1.89,36.0,21.8,14.1,0.74,0.5263157894736842,0.5263157894736842,1.5263157894736843,2.0526315789473686,1.0526315789473684,1.1578947368421053,1.736842105263158,1.894736842105263,38,20,9,9,68,42,26,69,0.5263157894736842,1.7894736842105263,1.105263157894737,1.8157894736842106,0.0,-0.5263157894736843,-0.10526315789473695,-0.1578947368421051,62.1,886,2057,602,204,33.9,407,30073,8242,1211,30067
2020-2021,4,Chelsea,19,9,6,4,31,18,13,33,1.74,34.1,15.2,18.9,0.99,19,10,4,5,27,18,9,34,1.79,28.3,15.1,13.2,0.7,0.47368421052631576,0.5263157894736842,1.631578947368421,1.4210526315789473,0.9473684210526315,0.9473684210526315,1.736842105263158,1.7894736842105263,38,19,10,9,58,36,22,67,0.5,1.5263157894736843,0.9473684210526315,1.763157894736842,-0.05263157894736842,0.21052631578947367,0.0,-0.05263157894736836,60.9,895,1798,546,193,35.3,359,29889,7308,1017,29879
2020-2021,5,Leicester City,19,9,1,9,34,30,4,28,1.47,28.2,25.6,2.7,0.14,19,11,5,3,34,20,14,38,2.0,27.6,20.4,7.2,0.38,0.47368421052631576,0.5789473684210527,1.7894736842105263,1.7894736842105263,1.5789473684210527,1.0526315789473684,1.4736842105263157,2.0,38,20,6,12,68,50,18,66,0.5263157894736842,1.7894736842105263,1.3157894736842106,1.736842105263158,-0.10526315789473689,0.0,0.5263157894736843,-0.5263157894736843,54.3,666,1464,473,170,35.9,358,25365,5674,772,25353
2020-2021,6,West Ham,19,10,4,5,32,22,10,34,1.79,24.7,24.9,-0.2,-0.01,19,9,4,6,30,25,5,31,1.63,30.7,23.8,7.0,0.37,0.5263157894736842,0.47368421052631576,1.6842105263157894,1.5789473684210527,1.1578947368421053,1.3157894736842106,1.7894736842105263,1.631578947368421,38,19,8,11,62,47,15,65,0.5,1.631578947368421,1.236842105263158,1.7105263157894737,0.05263157894736842,0.10526315789473673,-0.1578947368421053,0.1578947368421053,43.2,658,1282,464,158,34.1,298,20810,5060,761,20806
2020-2021,7,Tottenham,19,10,3,6,35,20,15,33,1.74,29.6,21.8,7.8,0.41,19,8,5,6,33,25,8,29,1.53,23.5,27.3,-3.8,-0.2,0.5263157894736842,0.42105263157894735,1.8421052631578947,1.736842105263158,1.0526315789473684,1.3157894736842106,1.736842105263158,1.5263157894736843,38,18,8,12,68,45,23,62,0.47368421052631576,1.7894736842105263,1.1842105263157894,1.631578947368421,0.10526315789473684,0.10526315789473673,-0.26315789473684226,0.21052631578947367,51.6,633,1330,438,167,38.1,403,24670,4997,700,24665
2020-2021,8,Arsenal,19,8,4,7,24,21,3,28,1.47,23.0,23.2,-0.2,-0.01,19,10,3,6,31,18,13,33,1.74,28.8,19.8,9.0,0.47,0.42105263157894735,0.5263157894736842,1.263157894736842,1.631578947368421,1.105263157894737,0.9473684210526315,1.4736842105263157,1.736842105263158,38,18,7,13,55,39,16,61,0.47368421052631576,1.4473684210526316,1.0263157894736843,1.605263157894737,-0.10526315789473684,-0.368421052631579,0.15789473684210542,-0.26315789473684226,53.5,758,1760,453,140,30.9,296,25431,6240,910,25425
2020-2021,9,Leeds United,19,8,5,6,28,21,7,29,1.53,30.6,22.9,7.7,0.41,19,10,0,9,34,33,1,30,1.58,25.0,35.0,-10.0,-0.52,0.42105263157894735,0.5263157894736842,1.4736842105263157,1.7894736842105263,1.105263157894737,1.736842105263158,1.5263157894736843,1.5789473684210527,38,18,5,15,62,54,8,59,0.47368421052631576,1.631578947368421,1.4210526315789473,1.5526315789473684,-0.10526315789473684,-0.3157894736842106,-0.631578947368421,-0.05263157894736836,57.3,811,1633,518,193,37.3,318,24873,5695,880,24869
2020-2021,10,Everton,19,6,4,9,24,28,-4,22,1.16,23.3,25.1,-1.8,-0.1,19,11,4,4,23,20,3,37,1.95,22.4,25.0,-2.6,-0.14,0.3157894736842105,0.5789473684210527,1.263157894736842,1.2105263157894737,1.4736842105263157,1.0526315789473684,1.1578947368421053,1.9473684210526316,38,17,8,13,47,48,-1,59,0.4473684210526316,1.236842105263158,1.263157894736842,1.5526315789473684,-0.26315789473684215,0.05263157894736836,0.42105263157894735,-0.7894736842105263,46.4,604,1184,395,143,36.2,362,22845,4585,643,22840
2020-2021,11,Aston Villa,19,7,4,8,29,27,2,25,1.32,27.9,25.9,2.0,0.11,19,9,3,7,26,19,7,30,1.58,24.6,25.2,-0.6,-0.03,0.3684210526315789,0.47368421052631576,1.5263157894736843,1.368421052631579,1.4210526315789473,1.0,1.3157894736842106,1.5789473684210527,38,16,7,15,55,46,9,55,0.42105263157894735,1.4473684210526316,1.2105263157894737,1.4473684210526316,-0.10526315789473684,0.1578947368421053,0.42105263157894735,-0.26315789473684204,48.5,629,1420,514,178,34.6,369,21115,5759,947,21109
2020-2021,12,Newcastle Utd,19,6,5,8,26,33,-7,23,1.21,26.5,24.7,1.8,0.1,19,6,4,9,20,29,-9,22,1.16,16.9,33.6,-16.7,-0.88,0.3157894736842105,0.3157894736842105,1.368421052631579,1.0526315789473684,1.736842105263158,1.5263157894736843,1.2105263157894737,1.1578947368421053,38,12,9,17,46,62,-16,45,0.3157894736842105,1.2105263157894737,1.631578947368421,1.1842105263157894,0.0,0.3157894736842106,0.21052631578947367,0.05263157894736836,38.8,467,903,390,130,33.3,350,18774,3941,552,18767
2020-2021,13,Wolves,19,7,4,8,21,25,-4,25,1.32,19.9,20.6,-0.7,-0.04,19,5,5,9,15,27,-12,20,1.05,16.6,28.9,-12.3,-0.65,0.3684210526315789,0.2631578947368421,1.105263157894737,0.7894736842105263,1.3157894736842106,1.4210526315789473,1.3157894736842106,1.0526315789473684,38,12,9,17,36,52,-16,45,0.3157894736842105,0.9473684210526315,1.368421052631579,1.1842105263157894,0.10526315789473684,0.3157894736842106,-0.10526315789473673,0.26315789473684226,49.3,800,1283,459,149,32.5,468,23259,5206,694,23255
2020-2021,14,Crystal Palace,19,6,5,8,20,32,-12,23,1.21,15.8,28.1,-12.3,-0.65,19,6,3,10,21,34,-13,21,1.11,18.3,30.1,-11.8,-0.62,0.3157894736842105,0.3157894736842105,1.0526315789473684,1.105263157894737,1.6842105263157894,1.7894736842105263,1.2105263157894737,1.105263157894737,38,12,8,18,41,66,-25,44,0.3157894736842105,1.0789473684210527,1.736842105263158,1.1578947368421053,0.0,-0.052631578947368585,-0.10526315789473695,0.10526315789473673,40.6,526,1132,345,127,36.8,365,19798,4410,653,19794
2020-2021,15,Southampton,19,8,3,8,28,25,3,27,1.42,21.0,22.3,-1.3,-0.07,19,4,4,11,19,43,-24,16,0.84,20.3,30.7,-10.5,-0.55,0.42105263157894735,0.21052631578947367,1.4736842105263157,1.0,1.3157894736842106,2.263157894736842,1.4210526315789473,0.8421052631578947,38,12,7,19,47,68,-21,43,0.3157894736842105,1.236842105263158,1.7894736842105263,1.131578947368421,0.21052631578947367,0.4736842105263157,-0.9473684210526314,0.5789473684210527,52.0,626,1195,418,157,37.6,343,23607,4756,698,23601
2020-2021,16,Brighton,19,4,9,6,22,22,0,21,1.11,30.6,14.2,16.4,0.86,19,5,5,9,18,24,-6,20,1.05,20.2,21.1,-0.8,-0.04,0.21052631578947367,0.2631578947368421,1.1578947368421053,0.9473684210526315,1.1578947368421053,1.263157894736842,1.105263157894737,1.0526315789473684,38,9,14,15,40,46,-6,41,0.23684210526315788,1.0526315789473684,1.2105263157894737,1.0789473684210527,-0.05263157894736842,0.21052631578947378,-0.10526315789473673,0.052631578947368585,51.1,685,1516,478,134,28.0,350,23756,5828,885,23747
2020-2021,17,Burnley,19,4,6,9,14,27,-13,18,0.95,20.5,27.3,-6.8,-0.36,19,6,3,10,19,28,-9,21,1.11,18.8,27.3,-8.6,-0.45,0.21052631578947367,0.3157894736842105,0.7368421052631579,1.0,1.4210526315789473,1.4736842105263157,0.9473684210526315,1.105263157894737,38,10,9,19,33,55,-22,39,0.2631578947368421,0.868421052631579,1.4473684210526316,1.0263157894736843,-0.10526315789473684,-0.26315789473684215,-0.05263157894736836,-0.15789473684210542,42.1,389,1012,381,124,32.5,234,19391,4683,699,19388
2020-2021,18,Fulham,19,2,4,13,9,28,-19,10,0.53,18.7,25.9,-7.2,-0.38,19,3,9,7,18,25,-7,18,0.95,21.8,26.7,-4.9,-0.26,0.10526315789473684,0.15789473684210525,0.47368421052631576,0.9473684210526315,1.4736842105263157,1.3157894736842106,0.5263157894736842,0.9473684210526315,38,5,13,20,27,53,-26,28,0.13157894736842105,0.7105263157894737,1.394736842105263,0.7368421052631579,-0.05263157894736842,-0.47368421052631576,0.1578947368421051,-0.42105263157894735,49.7,727,1354,436,125,28.7,506,23810,5567,728,23804
2020-2021,19,West Brom,19,3,6,10,15,39,-24,15,0.79,18.5,35.4,-16.9,-0.89,19,2,5,12,20,37,-17,11,0.58,17.4,32.5,-15.1,-0.8,0.15789473684210525,0.10526315789473684,0.7894736842105263,1.0526315789473684,2.0526315789473686,1.9473684210526316,0.7894736842105263,0.5789473684210527,38,5,11,22,35,76,-41,26,0.13157894736842105,0.9210526315789473,2.0,0.6842105263157895,0.05263157894736842,-0.26315789473684204,0.10526315789473695,0.21052631578947367,37.9,441,1027,335,106,31.6,264,18248,4238,578,18243
2020-2021,20,Sheffield Utd,19,5,1,13,12,27,-15,16,0.84,17.9,30.2,-12.4,-0.65,19,2,1,16,8,36,-28,7,0.37,14.8,32.0,-17.2,-0.91,0.2631578947368421,0.10526315789473684,0.631578947368421,0.42105263157894735,1.4210526315789473,1.894736842105263,0.8421052631578947,0.3684210526315789,38,7,2,29,20,63,-43,23,0.18421052631578946,0.5263157894736842,1.6578947368421053,0.6052631578947368,0.15789473684210525,0.21052631578947367,-0.4736842105263157,0.47368421052631576,41.7,491,1196,319,92,28.8,269,20351,5537,615,20347
2021-2022,1,Manchester City,19,15,2,2,58,15,43,47,2.47,45.6,11.4,34.2,1.8,19,14,4,1,41,11,30,46,2.42,43.1,13.2,29.8,1.57,0.7894736842105263,0.7368421052631579,3.0526315789473686,2.1578947368421053,0.7894736842105263,0.5789473684210527,2.473684210526316,2.4210526315789473,38,29,6,3,99,26,73,93,0.7631578947368421,2.6052631578947367,0.6842105263157895,2.4473684210526314,0.052631578947368474,0.8947368421052633,0.21052631578947367,0.052631578947368585,67.9,1145,2421,704,237,33.7,425,31381,9729,1499,31372
2021-2022,2,Liverpool,19,15,4,0,49,9,40,49,2.58,48.9,12.8,36.1,1.9,19,13,4,2,45,17,28,43,2.26,39.8,20.9,18.8,0.99,0.7894736842105263,0.6842105263157895,2.5789473684210527,2.3684210526315788,0.47368421052631576,0.8947368421052632,2.5789473684210527,2.263157894736842,38,28,8,2,94,26,68,92,0.7368421052631579,2.473684210526316,0.6842105263157895,2.4210526315789473,0.10526315789473684,0.2105263157894739,-0.4210526315789474,0.3157894736842106,62.7,885,2243,721,237,32.9,343,29575,8419,1377,29567
2021-2022,3,Chelsea,19,9,7,3,37,22,15,34,1.79,33.2,18.2,15.1,0.79,19,12,4,3,39,11,28,40,2.11,30.1,15.1,15.0,0.79,0.47368421052631576,0.631578947368421,1.9473684210526316,2.0526315789473686,1.1578947368421053,0.5789473684210527,1.7894736842105263,2.1052631578947367,38,21,11,6,76,33,43,74,0.5526315789473685,2.0,0.868421052631579,1.9473684210526316,-0.15789473684210525,-0.10526315789473695,0.5789473684210527,-0.3157894736842104,61.8,894,1967,583,200,34.3,364,28975,7881,1066,28966
2021-2022,4,Tottenham,19,13,1,5,38,19,19,40,2.11,33.6,18.7,14.8,0.78,19,9,4,6,31,21,10,31,1.63,27.7,20.6,7.1,0.37,0.6842105263157895,0.47368421052631576,2.0,1.631578947368421,1.0,1.105263157894737,2.1052631578947367,1.631578947368421,38,22,5,11,69,40,29,71,0.5789473684210527,1.8157894736842106,1.0526315789473684,1.868421052631579,0.21052631578947373,0.368421052631579,-0.10526315789473695,0.4736842105263157,51.8,791,1459,486,185,38.1,375,24853,5627,864,24848
2021-2022,5,Arsenal,19,13,2,4,35,17,18,41,2.16,37.4,17.7,19.7,1.03,19,9,1,9,26,31,-5,28,1.47,23.2,27.9,-4.8,-0.25,0.6842105263157895,0.47368421052631576,1.8421052631578947,1.368421052631579,0.8947368421052632,1.631578947368421,2.1578947368421053,1.4736842105263157,38,22,3,13,61,48,13,69,0.5789473684210527,1.605263157894737,1.263157894736842,1.8157894736842106,0.21052631578947373,0.4736842105263157,-0.7368421052631579,0.6842105263157896,52.8,734,1655,581,186,32.0,319,23780,6491,982,23772
2021-2022,6,Manchester Utd,19,10,5,4,32,22,10,35,1.84,30.6,20.8,9.9,0.52,19,6,5,8,25,35,-10,23,1.21,25.1,32.2,-7.1,-0.37,0.5263157894736842,0.3157894736842105,1.6842105263157894,1.3157894736842106,1.1578947368421053,1.8421052631578947,1.8421052631578947,1.2105263157894737,38,16,10,12,57,57,0,58,0.42105263157894735,1.5,1.5,1.5263157894736843,0.21052631578947367,0.36842105263157876,-0.6842105263157894,0.631578947368421,52.7,784,1568,503,179,35.6,368,24652,6331,883,24647
2021-2022,7,West Ham,19,9,5,5,33,26,7,32,1.68,28.0,21.6,6.4,0.34,19,7,3,9,27,25,2,24,1.26,23.4,31.9,-8.5,-0.45,0.47368421052631576,0.3684210526315789,1.736842105263158,1.4210526315789473,1.368421052631579,1.3157894736842106,1.6842105263157894,1.263157894736842,38,16,8,14,60,51,9,56,0.42105263157894735,1.5789473684210527,1.3421052631578947,1.4736842105263157,0.10526315789473684,0.3157894736842106,0.05263157894736836,0.42105263157894735,47.9,646,1449,443,142,32.1,306,22331,5543,810,22325
2021-2022,8,Leicester City,19,10,4,5,34,23,11,34,1.79,26.1,28.4,-2.3,-0.12,19,4,6,9,28,36,-8,18,0.95,21.7,30.8,-9.2,-0.48,0.5263157894736842,0.21052631578947367,1.7894736842105263,1.4736842105263157,1.2105263157894737,1.894736842105263,1.7894736842105263,0.9473684210526315,38,14,10,14,62,59,3,52,0.3684210526315789,1.631578947368421,1.5526315789473684,1.368421052631579,0.3157894736842105,0.3157894736842106,-0.6842105263157894,0.8421052631578948,52.0,622,1356,433,164,37.9,297,24409,4962,746,24407
2021-2022,9,Brighton,19,5,7,7,19,23,-4,22,1.16,25.2,19.8,5.4,0.29,19,7,8,4,23,21,2,29,1.53,20.9,23.1,-2.1,-0.11,0.2631578947368421,0.3684210526315789,1.0,1.2105263157894737,1.2105263157894737,1.105263157894737,1.1578947368421053,1.5263157894736843,38,12,15,11,42,44,-2,51,0.3157894736842105,1.105263157894737,1.1578947368421053,1.3421052631578947,-0.10526315789473684,-0.21052631578947367,0.10526315789473673,-0.368421052631579,54.4,676,1547,482,141,29.3,317,24854,6505,876,24847
2021-2022,10,Wolves,19,7,3,9,20,25,-5,24,1.26,19.2,28.9,-9.7,-0.51,19,8,3,8,18,18,0,27,1.42,18.3,28.0,-9.8,-0.51,0.3684210526315789,0.42105263157894735,1.0526315789473684,0.9473684210526315,1.3157894736842106,0.9473684210526315,1.263157894736842,1.4210526315789473,38,15,6,17,38,43,-5,51,0.39473684210526316,1.0,1.131578947368421,1.3421052631578947,-0.05263157894736842,0.10526315789473684,0.3684210526315791,-0.1578947368421053,49.5,723,1283,401,133,33.2,450,23334,4887,703,23333
2021-2022,11,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,21.2,27.4,-6.2,-0.32,19,5,4,10,18,35,-17,19,1.0,16.9,29.8,-12.8,-0.68,0.42105263157894735,0.2631578947368421,1.368421052631579,0.9473684210526315,1.4210526315789473,1.8421052631578947,1.5789473684210527,1.0,38,13,10,15,44,62,-18,49,0.34210526315789475,1.1578947368421053,1.631578947368421,1.2894736842105263,0.15789473684210525,0.42105263157894746,-0.42105263157894735,0.5789473684210527,40.4,544,923,446,142,31.8,359,18281,4314,727,18278
2021-2022,12,Crystal Palace,19,7,8,4,27,17,10,29,1.53,28.2,17.0,11.2,0.59,19,4,7,8,23,29,-6,19,1.0,18.2,23.7,-5.5,-0.29,0.3684210526315789,0.21052631578947367,1.4210526315789473,1.2105263157894737,0.8947368421052632,1.5263157894736843,1.5263157894736843,1.0,38,11,15,12,50,46,4,48,0.2894736842105263,1.3157894736842106,1.2105263157894737,1.263157894736842,0.15789473684210525,0.21052631578947367,-0.6315789473684211,0.5263157894736843,51.1,592,1229,404,140,34.7,382,23466,4943,749,23458
2021-2022,13,Brentford,19,7,3,9,22,21,1,24,1.26,25.4,20.5,4.9,0.26,19,6,4,9,26,35,-9,22,1.16,20.4,28.0,-7.6,-0.4,0.3684210526315789,0.3157894736842105,1.1578947368421053,1.368421052631579,1.105263157894737,1.8421052631578947,1.263157894736842,1.1578947368421053,38,13,7,18,48,56,-8,46,0.34210526315789475,1.263157894736842,1.4736842105263157,1.2105263157894737,0.05263157894736842,-0.21052631578947367,-0.7368421052631577,0.10526315789473673,44.8,450,1189,436,141,32.3,262,20462,4566,819,20456
2021-2022,14,Aston Villa,19,6,5,8,29,29,0,23,1.21,23.6,24.5,-1.0,-0.05,19,7,1,11,23,25,-2,22,1.16,20.4,24.4,-4.0,-0.21,0.3157894736842105,0.3684210526315789,1.5263157894736843,1.2105263157894737,1.5263157894736843,1.3157894736842106,1.2105263157894737,1.1578947368421053,38,13,6,19,52,54,-2,45,0.34210526315789475,1.368421052631579,1.4210526315789473,1.1842105263157894,-0.05263157894736842,0.3157894736842106,0.21052631578947367,0.05263157894736836,46.5,653,1300,461,159,34.5,333,20609,5049,825,20606
2021-2022,15,Southampton,19,6,7,6,23,24,-1,25,1.32,21.8,24.3,-2.5,-0.13,19,3,6,10,20,43,-23,15,0.79,23.0,35.7,-12.7,-0.67,0.3157894736842105,0.15789473684210525,1.2105263157894737,1.0526315789473684,1.263157894736842,2.263157894736842,1.3157894736842106,0.7894736842105263,38,9,13,16,43,67,-24,40,0.23684210526315788,1.131578947368421,1.763157894736842,1.0526315789473684,0.15789473684210525,0.1578947368421053,-1.0,0.5263157894736843,47.7,728,1326,478,161,33.7,350,21418,5713,830,21414
2021-2022,16,Everton,19,9,2,8,27,25,2,29,1.53,23.6,22.6,1.0,0.05,19,2,4,13,16,41,-25,10,0.53,17.6,32.8,-15.2,-0.8,0.47368421052631576,0.10526315789473684,1.4210526315789473,0.8421052631578947,1.3157894736842106,2.1578947368421053,1.5263157894736843,0.5263157894736842,38,11,6,21,43,66,-23,39,0.2894736842105263,1.131578947368421,1.736842105263158,1.0263157894736843,0.3684210526315789,0.5789473684210527,-0.8421052631578947,1.0,40.0,512,1100,430,130,30.2,337,19075,5013,728,19068
